feature,coef,odds_ratio,abs_coef
Cheddar Sauce,-3.419839651011553,0.03271768076544216,3.419839651011553
Garlic Sauce,-2.90550813441101,0.05472097792391218,2.90550813441101
Blueberry Sauce,-2.697220762214947,0.06739255263389664,2.697220762214947
Mac & cheease,1.921943739874991,6.83422953182157,1.921943739874991
Tomato Sauce,-1.750478394094355,0.17369083090400647,1.750478394094355
Pepsi Cola 0.25L Doze,1.6658826002644462,5.290340445699991,1.6658826002644462
Pink Sauce,-1.6007779443179213,0.20173951482345398,1.6007779443179213
Baked potatoes,1.577416017123311,4.8424268827936645,1.577416017123311
Mountain Dew 0.25L Doze,1.3311475543126203,3.7853848307588875,1.3311475543126203
Spicy Sauce,-1.2608925629696883,0.2834009603750404,1.2608925629696883
French fries,1.1913240078350988,3.2914362110495956,1.1913240078350988
Aqua Carpatica Minerala 0.5L,1.162721785501326,3.1986274166829194,1.162721785501326
Aqua Carpatica Plata 0.5L,1.142076677615055,3.133268401962036,1.142076677615055
Crazy Fries with Cheddar Sauce,-0.7290231661986543,0.48237996507558706,0.7290231661986543
Crazy Fries with Parmesan,-0.5736550245056061,0.5634622022493723,0.5736550245056061
Viennese Schnitzel,0.4600683926594555,1.5841823277319715,0.4600683926594555
Crazy Pepperoni Schnitzel,0.433463891971184,1.5425916506282449,0.433463891971184
Mac & Cheese with Crispy Bacon,-0.383140177630476,0.6817173310677603,0.383140177630476
Margherita Pizza Schnitzel,0.3482645412500811,1.4166069511495794,0.3482645412500811
Crazy Fries with Cheddar Sauce and bacon,-0.3464169508675944,0.7072175506524468,0.3464169508675944
Red Fit Schnitzel,-0.3319723138822928,0.7175071875679044,0.3319723138822928
Healthy Green Fit Schnitzel,0.3244504029580557,1.3832701958214808,0.3244504029580557
Breaded Chicken Schnitzel,-0.2570925244112571,0.7732966616369958,0.2570925244112571
Extra bacon,0.22346610170533,1.250403253020114,0.22346610170533
Prigat Still Orange 0.25L,-0.1879760549192776,0.8286345487162851,0.1879760549192776
Arugula Salad with Cherry Tomatoes and Parmesan,-0.1856482337935645,0.8305657085495717,0.1856482337935645
Extra jalapeno,0.17917002432217222,1.1962241140726397,0.17917002432217222
Pepsi Cola Can 0.33L,-0.16982419700034498,0.8438131484400542,0.16982419700034498
Pepsi Zero Can 0.33L,0.1692948409212493,1.1844693174701322,0.1692948409212493
7Up Lemon Lime 0.33L,-0.13908481592862326,0.8701542223899132,0.13908481592862326
Breaded Pork Schnitzel,-0.08594832164236699,0.9176416522083028,0.08594832164236699
Potatoes with Cheddar and Bacon Sauce,-0.08430766013385073,0.9191484272616172,0.08430766013385073
Extra Cheddar Sauce,0.08079705182328344,1.084150847800421,0.08079705182328344
Mac & Cheese with Jalapeno and Tomato Sauce,-0.07816164794704536,0.9248149200269348,0.07816164794704536
Snails with walnuts and meringue,-0.07307880414649706,0.9295275765121778,0.07307880414649706
Jalapeno Pizza Schnitzel,0.07243520049439908,1.0751231363852003,0.07243520049439908
cart_size,-0.06927263551156669,0.933072256765311,0.06927263551156669
Packaging,-0.06730743012354903,0.934907738350142,0.06730743012354903
day_of_week,-0.06268548566691916,0.9392388313142297,0.06268548566691916
Pepsi Twist Can 0.33L,-0.06112579204537989,0.9407048991396487,0.06112579204537989
Crispy Chicken Schnitzel,0.05862406459233578,1.0603765327165187,0.05862406459233578
Extra parmezan,0.05351971403276412,1.054977789429294,0.05351971403276412
Healthy Red Fit Schnitzel,-0.04852181998854875,0.9526365525603845,0.04852181998854875
French Fries with Parmesan,-0.04361831112707458,0.9573192858669722,0.04361831112707458
Prigat Still Peach Apricot 0.25L,0.04031886361461358,1.0411427037953,0.04031886361461358
Crazy peaches,-0.037579277749453105,0.963118060861839,0.037579277749453105
Healthy Salad with Chicken and Seeds,-0.0322279498786815,0.9682858362817551,0.0322279498786815
Chicken Schnitzel with Feta and Tomato Sauce,-0.030672657869587443,0.9697929752222127,0.030672657869587443
Lipton Lemon Tea 0.33L,-0.02643902513158561,0.973907425902252,0.02643902513158561
hour,0.023675966411719228,1.023958467191764,0.023675966411719228
Mirinda Orange Can 0.33L,-0.01620197189731056,0.9839285740644864,0.01620197189731056
Green Fit Schnitzel,0.015673562032461254,1.0157970365576061,0.015673562032461254
Pepsi Twist Zero Can 0.33L,-0.014615827789674993,0.9854904649391195,0.014615827789674993
Fit Schnitzel with seeds,0.011377080691908995,1.0114420458118223,0.011377080691908995
Tagliata Schnitzel,-0.007599593858814693,0.9924292100424252,0.007599593858814693
Extra Lamaie,-0.003982152967443842,0.9960257652896269,0.003982152967443842
Chicken Bao Buns,-0.0024882549863921403,0.9975148381540073,0.0024882549863921403
is_weekend,0.001700467424702405,1.001701914039291,0.001700467424702405
